length,emoji_count,hashtag_count,exclamation_count,question_count,capitalized_word_count,sentence_count,avg_word_length,verb_count,noun_count,adjective_count,entity_count,has_numerical_list,word_count,buzzword_count,buzzword_ratio,humble_brag_count,personal_pronouns,motivation_score,excessive_punctuation,has_call_to_action,starts_with_number,contains_money_reference,sentiment_polarity,sentiment_subjectivity,is_extemely_positive,cringe_score
1183,2,0,0,0,0,29,4.637305699481865,42,55,13,12,0,240,0,0.0,1,9,0,0,1,1,1,0.04500000000000002,0.4655555555555555,0,0
710,0,0,0,4,0,10,5.339622641509434,17,29,6,1,0,122,0,0.0,0,5,0,0,0,1,1,0.1010416666666667,0.4913194444444445,0,605
324,1,0,0,1,0,5,5.4,4,13,5,6,0,53,0,0.0,0,0,0,0,1,0,1,0.325,0.5,0,243
670,2,0,0,0,0,6,4.5225225225225225,13,34,9,10,0,136,0,0.0,0,4,0,0,1,1,1,0.32810064935064936,0.6075974025974026,0,14
1060,1,0,0,5,0,11,5.389937106918239,19,50,12,6,0,181,2,0.011049723756906077,0,5,0,0,0,0,0,0.1875,0.3970238095238095,0,14
122,2,0,1,0,0,4,3.782608695652174,2,7,2,3,0,29,0,0.0,0,0,0,0,0,0,1,-0.1375,0.2875,0,256
363,1,0,0,2,0,8,4.121212121212121,13,15,6,1,0,77,0,0.0,0,3,0,0,0,0,0,0.3301948051948052,0.614935064935065,0,1924
223,1,0,0,0,0,4,4.705882352941177,6,9,4,5,0,44,0,0.0,0,1,0,0,1,0,1,0.2375,0.2875,0,103
57,0,0,0,0,0,2,5.0,2,3,0,2,0,11,0,0.0,0,0,0,0,0,0,1,0.0,0.0,0,115
851,1,0,0,0,0,18,4.380952380952381,32,36,18,9,0,175,0,0.0,0,4,0,0,1,0,1,0.012195767195767213,0.5760063085063085,0,0
1380,1,0,0,5,0,24,4.647826086956521,41,49,9,7,0,266,0,0.0,0,6,0,0,1,0,1,0.2329163483575248,0.4190348866819455,0,118
1933,1,0,2,0,0,13,4.703363914373089,50,73,34,15,0,360,0,0.0,1,5,1,0,1,0,1,0.10698763955342902,0.3772342788790157,0,2
987,1,0,1,1,0,9,5.469387755102041,28,45,12,8,0,164,0,0.0,0,1,0,0,1,1,1,0.22789351851851855,0.5962962962962963,0,5
720,1,0,0,1,0,19,4.324324324324325,21,33,7,13,0,164,0,0.0,0,0,0,0,1,0,1,0.30476190476190473,0.5047619047619049,0,266
387,2,0,1,0,0,8,3.25974025974026,10,25,5,6,0,104,0,0.0,0,4,0,0,1,0,1,0.34867424242424244,0.4678030303030303,0,45
673,1,0,0,1,0,19,4.320754716981132,19,33,7,12,0,153,0,0.0,0,0,0,0,1,0,1,0.30476190476190473,0.5047619047619049,0,234
561,1,0,0,0,0,1,5.080459770114943,18,31,9,4,0,100,0,0.0,0,0,1,0,1,0,1,0.036837121212121196,0.5182765151515151,0,1171
534,2,0,1,3,0,11,3.390909090909091,11,21,8,9,0,132,0,0.0,0,4,0,0,1,0,1,0.22314814814814815,0.4592592592592592,0,18
585,1,0,11,7,0,13,4.625,13,33,3,8,0,119,0,0.0,0,2,0,0,1,0,1,-0.20972222222222223,0.45416666666666666,0,36
214,1,0,1,0,0,2,5.03125,7,6,4,2,0,41,0,0.0,0,0,0,0,1,0,1,0.25625,0.425,0,42
465,4,0,0,0,0,8,4.368421052631579,17,21,5,6,0,100,0,0.0,0,4,0,0,1,0,1,0.25,0.5166666666666667,0,17
443,1,0,0,1,0,6,4.205128205128205,22,14,4,6,0,93,0,0.0,0,5,0,0,1,0,1,0.09999999999999999,0.3875,0,32
825,1,0,0,0,0,18,4.321678321678322,33,31,17,9,0,172,0,0.0,0,6,0,0,0,1,1,0.012195767195767213,0.5760063085063085,0,3
3291,2,0,0,3,0,43,4.742857142857143,98,145,39,36,0,624,0,0.0,1,10,2,0,1,0,1,0.15814528261336772,0.5153879217709005,0,5
101,0,0,0,2,0,4,5.0,3,7,2,3,0,24,0,0.0,0,0,0,0,0,0,1,0.018181818181818174,0.42727272727272725,0,32
64,0,0,0,0,0,1,5.5,3,1,1,1,0,10,0,0.0,0,0,0,0,1,0,0,0.0,0.0,0,4970
1430,0,0,0,1,0,15,3.8398576512455516,43,54,19,10,0,311,0,0.0,0,15,0,0,0,1,1,0.20793650793650792,0.6753968253968253,0,4
186,0,0,1,0,0,5,6.136363636363637,6,5,4,3,0,35,0,0.0,0,0,0,0,0,0,1,0.36893939393939396,0.6363636363636364,0,12
1180,2,0,3,6,0,38,4.29,37,49,13,13,0,260,0,0.0,0,8,0,0,1,0,1,0.07512254901960783,0.4054621848739495,0,41
1481,1,0,1,0,0,16,5.605769230769231,24,78,15,12,0,246,0,0.0,0,5,1,0,1,0,1,0.027777777777777776,0.46499999999999997,0,1
614,1,0,0,1,0,8,4.8686868686868685,16,29,11,5,0,114,0,0.0,0,3,0,0,1,0,1,0.08181818181818182,0.14924242424242423,0,416
241,1,0,1,1,0,6,4.25,5,8,2,3,0,50,0,0.0,0,0,0,0,0,0,1,0.6339285714285714,0.8839285714285714,0,2285
720,2,0,0,9,1,15,3.6950354609929077,20,33,5,4,0,165,0,0.0,0,2,0,0,1,0,1,0.12083333333333335,0.518452380952381,0,62
745,3,0,2,2,0,8,5.102564102564102,27,24,9,8,0,131,0,0.0,0,3,1,0,1,0,0,0.29583333333333334,0.5233333333333334,0,4
316,1,0,0,0,0,7,4.320754716981132,8,14,2,5,0,69,0,0.0,0,4,0,0,1,0,1,0.5121212121212121,0.6181818181818182,0,2
986,1,0,2,1,0,13,4.1807909604519775,29,30,22,10,0,207,0,0.0,0,5,0,0,1,0,1,0.23125000000000004,0.39715608465608465,0,18
145,0,0,0,0,1,5,4.363636363636363,2,10,2,8,0,36,0,0.0,0,0,0,0,0,0,1,-0.3,0.3,0,538
696,1,0,0,0,0,11,5.028301886792453,12,36,8,10,0,133,0,0.0,0,1,0,0,0,0,1,0.033,0.196,0,9
398,3,0,1,1,0,6,4.34375,3,17,8,9,0,89,0,0.0,0,1,0,0,1,0,1,0.060606060606060594,0.2509090909090909,0,26
623,1,0,0,0,0,10,4.320754716981132,24,23,8,4,0,128,0,0.0,0,0,0,0,1,0,1,0.33571428571428574,0.46785714285714286,0,1
684,1,0,0,1,0,16,4.482758620689655,17,32,9,7,0,140,0,0.0,0,4,0,0,1,0,1,0.010884353741496608,0.40017006802721083,0,0
351,1,0,0,0,0,6,4.278688524590164,5,15,14,2,0,75,0,0.0,0,2,0,0,0,0,1,-0.01575757575757576,0.5187878787878788,0,362
1176,0,0,1,3,0,20,4.973262032085562,23,61,17,2,0,214,0,0.0,0,0,2,0,1,0,1,0.06578947368421052,0.4131578947368421,0,3
891,1,0,0,2,0,10,4.30188679245283,20,41,12,1,0,181,0,0.0,0,7,0,0,0,0,1,0.08771929824561403,0.3408521303258146,0,62
